size,repeat,accuracy,precision,recall,f1,rmse,n_classes
100,0,0.35,0.24791666666666665,0.35,0.2694444444444445,6.288879073412049,20
100,1,0.35,0.29166666666666663,0.35,0.3083333333333333,4.883646178829912,20
100,2,0.25,0.225,0.25,0.2333333333333333,5.5,20
100,3,0.2,0.09125,0.2,0.11111111111111112,6.268971207462991,20
100,4,0.55,0.43499999999999994,0.55,0.4666666666666666,4.09878030638384,20
200,0,0.525,0.48666666666666664,0.5041666666666667,0.4502380952380952,7.10105625945887,21
200,1,0.35,0.2912280701754386,0.3114035087719298,0.2666666666666667,6.566962768281849,21
200,2,0.45,0.5201923076923076,0.4333333333333333,0.4458333333333333,4.61519230368573,20
200,3,0.225,0.29085213032581453,0.28947368421052627,0.22343358395989976,6.041522986797286,21
200,4,0.55,0.4583333333333333,0.5375,0.46726190476190477,6.987488819311269,21
300,0,0.6166666666666667,0.6115151515151516,0.5733333333333333,0.5356349206349207,5.68770604022395,21
300,1,0.6,0.6615646258503401,0.6444444444444444,0.6136810279667423,4.801041553663121,21
300,2,0.48333333333333334,0.5142135642135641,0.39013605442176874,0.3956916099773243,4.8955762343841265,21
300,3,0.5666666666666667,0.6032142857142857,0.5740476190476189,0.5273626373626373,6.502563597023356,21
300,4,0.5,0.6050000000000001,0.5579761904761905,0.5079650904650904,5.718391382198319,21
400,0,0.6625,0.7645238095238096,0.6541666666666667,0.6619444444444446,3.882653731663435,21
400,1,0.7625,0.7919444444444445,0.7583333333333334,0.7620238095238097,4.251470333896263,21
400,2,0.6625,0.6669444444444445,0.65,0.6321031746031747,3.960744879438715,21
400,3,0.6875,0.7433333333333334,0.6933333333333334,0.6882142857142857,3.753331853167263,21
400,4,0.6125,0.6439285714285714,0.625,0.6038600288600289,5.33151010502653,21
500,0,0.64,0.7355059523809524,0.6480952380952381,0.6551893939393939,4.07308237088326,21
500,1,0.63,0.6289448051948052,0.6197619047619047,0.5936219336219336,5.789645930452052,21
500,2,0.69,0.7570436507936507,0.6870238095238096,0.6903651611546349,5.000999900019995,21
500,3,0.71,0.7748809523809523,0.7102380952380952,0.7079809079809081,4.093897898091744,21
500,4,0.66,0.7224603174603176,0.6635714285714285,0.6638580863580863,5.037856687123999,21
600,0,0.7083333333333334,0.7406746031746032,0.7096825396825397,0.7153202353202354,3.8427420765212266,21
600,1,0.675,0.6982539682539682,0.6782738095238094,0.6646300921300922,5.060467699070249,21
600,2,0.725,0.7277674706246136,0.6965230536659108,0.6950390878962308,3.026273836475036,21
600,3,0.7166666666666667,0.768560606060606,0.7183333333333334,0.7148117895176719,5.06869476953058,21
600,4,0.725,0.7794047619047619,0.7319047619047621,0.7246303369832782,4.204164601915582,21
