disease,symptoms,specialist
Hypertension,"high blood pressure, headaches, dizziness mild symptoms",General physician
Diabetes,"increased thirst, frequent urination, fatigue mild symptoms",General physician
Respiratory infection,"cough, fever, sore throat worsening over 3 days",General physician
Sinusitis,"facial pain, nasal congestion, headache for a few weeks",General physician
Back pain,"lower back ache, stiffness acute episode",General physician
Abdominal pain,"stomach cramps, nausea acute episode",General physician
Headache,"throbbing pain, sensitivity to light worsening over 3 days",General physician
Fever,"high temperature, chills for 2 days",General physician
Chronic fatigue,"persistent tiredness, weakness sudden onset",General physician
Digestive issues,"indigestion, bloating acute episode",General physician
Common cold,"runny nose, sneezing, cough sudden onset",General physician
Flu,"fever, body aches, fatigue recurrent symptoms",General physician
Bronchitis,"cough with mucus, chest discomfort chronic condition",General physician
Allergies,"sneezing, itchy eyes acute episode",General physician
Arthritis,"joint pain, swelling sudden onset",General physician
Appendicitis,"severe right lower abdominal pain, nausea, fever acute episode",General Surgeon
Gallstones,"burning upper abdominal pain, nausea worsening over 3 days",Gastroenterologist
Hernia,"bulge in groin, pain when lifting for a few weeks",General Surgeon
Cholecystitis,"severe right upper quadrant pain, fever for 2 days",Gastroenterologist
Bowel obstruction,"severe abdominal pain, vomiting, constipation acute episode",General Surgeon
Diverticulitis,"lower left abdominal pain, fever worsening over 3 days",Gastroenterologist
Hemorrhoids,"rectal bleeding, pain during bowel movements for a few weeks",General Surgeon
Anal fissure,"sharp pain during bowel movements, bleeding for 2 days",General Surgeon
Pilonidal cyst,"painful swelling near tailbone, fever acute episode",General Surgeon
Abscess,"localized swelling, redness, pain worsening over 3 days",General Surgeon
Gastroenteritis,"vomiting, watery diarrhea, signs of dehydration for a few weeks",Pediatrics
Febrile illness,"fever, cough in an infant, feeding difficulty acute episode",Pediatrics
Bronchiolitis,"high fever, rash, lethargy worsening over 3 days",Pediatrics
Croup,"barking cough, stridor, fever in a toddler for 2 days",Pediatrics
Ear infection,"ear tugging, fever, irritability in a toddler for a few weeks",Pediatrics
Tonsillitis,"sore throat, difficulty swallowing, fever in a child acute episode",Pediatrics
Measles,"high fever, rash, cough in a child for 2 days",Pediatrics
Chickenpox,"itchy rash, fever, fatigue in a child worsening over 3 days",Pediatrics
Hand-foot-mouth disease,"sores in mouth, rash on hands and feet in a toddler acute episode",Pediatrics
Respiratory syncytial virus,"wheezing, cough, fever in an infant for a few weeks",Pediatrics
Anxiety disorder,"excessive worrying, restlessness, difficulty concentrating for a few weeks",Psychiatry
Major depressive disorder,"persistent low mood, loss of interest, poor sleep for months",Psychiatry
Bipolar disorder,"mood swings, irritability, high energy episodes worsening over 3 days",Psychiatry
Schizophrenia,"hearing voices, social withdrawal, suspiciousness for months",Psychiatry
